1;1580;17;47,87;50,26;2011-08-29;1;5;3;"CS ";2011-08-29 00:00:00.000
2;1688;19;39,92;41,92;2011-08-29;1;5;3;CTN;2011-08-29 00:00:00.000
4;1650;17;54,31;57,03;2011-08-29;1;5;3;CTN;2011-08-29 00:00:00.000
317;1578;19;28,17;29,58;2011-08-29;100;1000;300;"EA ";2011-08-29 00:00:00.000
317;1678;17;25,77;27,06;2011-08-25;100;1000;300;"EA ";2011-08-25 00:00:00.000
318;1578;19;34,38;36,10;2011-08-29;100;1000;300;"EA ";2011-08-29 00:00:00.000
318;1678;17;31,98;33,58;2011-08-25;100;1000;300;"EA ";2011-08-25 00:00:00.000
319;1556;19;44,21;46,42;2011-08-29;100;1000;300;"EA ";2011-08-29 00:00:00.000
319;1578;19;46,27;48,58;2011-08-29;100;1000;300;"EA ";2011-08-29 00:00:00.000
319;1678;17;43,87;46,06;2011-08-25;100;1000;300;"EA ";2011-08-25 00:00:00.000
320;1514;19;47,28;49,64;2011-08-29;1;5;3;CAN;2011-08-29 00:00:00.000
320;1602;17;45,21;47,47;2011-08-19;1;5;3;CAN;2011-08-19 00:00:00.000
320;1604;17;43,21;45,37;2011-08-25;1;5;3;CAN;2011-08-25 00:00:00.000
321;1514;19;42,21;44,32;2011-08-29;1;5;3;CAN;2011-08-29 00:00:00.000
321;1602;17;40,76;42,80;2011-08-19;1;5;3;CAN;2011-08-19 00:00:00.000
321;1604;17;38,56;40,49;2011-08-25;1;5;3;CAN;2011-08-25 00:00:00.000
322;1514;19;27,33;28,70;2011-08-24;20;100;60;"DZ ";2011-08-24 00:00:00.000
322;1602;17;24,21;25,42;2011-08-25;20;100;60;"DZ ";2011-08-25 00:00:00.000
322;1604;17;25,11;26,37;2011-08-25;20;100;60;"DZ ";2011-08-25 00:00:00.000
323;1698;17;47,87;50,26;2011-08-25;1;5;3;"CS ";2011-08-25 00:00:00.000
325;1590;19;0,20;0,21;2011-08-29;500;2000;500;"EA ";2011-08-29 00:00:00.000
326;1590;19;0,20;0,21;2011-08-29;500;2000;500;"EA ";2011-08-29 00:00:00.000
332;1608;19;10,30;10,82;2011-08-29;100;1000;300;"EA ";2011-08-29 00:00:00.000
341;1598;15;39,21;41,17;2011-08-26;1;5;3;CTN;2011-08-26 00:00:00.000
341;1614;19;45,31;47,58;2011-08-28;1;5;3;CTN;2011-08-28 00:00:00.000
341;1622;19;45,21;47,47;2011-08-22;1;5;3;CTN;2011-08-22 00:00:00.000
342;1598;15;37,21;39,07;2011-08-26;1;5;3;CTN;2011-08-26 00:00:00.000
342;1614;19;43,31;45,48;2011-08-28;1;5;3;CTN;2011-08-28 00:00:00.000
342;1622;19;43,21;45,37;2011-08-22;1;5;3;CTN;2011-08-22 00:00:00.000
343;1598;15;41,28;43,34;2011-08-26;1;5;3;CTN;2011-08-26 00:00:00.000
343;1614;19;47,38;49,75;2011-08-28;1;5;3;CTN;2011-08-28 00:00:00.000
343;1622;19;47,28;49,64;2011-08-22;1;5;3;CTN;2011-08-22 00:00:00.000
344;1598;15;37,21;39,07;2011-08-07;1;5;3;CTN;2011-08-07 00:00:00.000
344;1614;19;43,31;45,48;2011-08-28;1;5;3;CTN;2011-08-28 00:00:00.000
344;1622;19;43,21;45,37;2011-08-28;1;5;3;CTN;2011-08-28 00:00:00.000
345;1598;15;35,21;36,97;2011-08-07;1;5;3;CTN;2011-08-07 00:00:00.000
345;1614;19;41,31;43,38;2011-08-28;1;5;3;CTN;2011-08-28 00:00:00.000
345;1622;19;41,21;43,27;2011-08-28;1;5;3;CTN;2011-08-28 00:00:00.000
346;1598;15;39,28;41,24;2011-08-13;1;5;3;CTN;2011-08-13 00:00:00.000
346;1614;19;45,38;47,65;2011-08-28;1;5;3;CTN;2011-08-28 00:00:00.000
346;1622;19;45,28;47,54;2011-08-28;1;5;3;CTN;2011-08-28 00:00:00.000
347;1598;15;35,21;36,97;2011-08-13;1;5;3;CTN;2011-08-13 00:00:00.000
347;1614;19;41,31;43,38;2011-08-17;1;5;3;CTN;2011-08-17 00:00:00.000
347;1622;19;41,21;43,27;2011-08-28;1;5;3;CTN;2011-08-28 00:00:00.000
348;1598;15;33,21;34,87;2011-08-20;1;5;3;CTN;2011-08-20 00:00:00.000
348;1614;19;39,31;41,28;2011-08-17;1;5;3;CTN;2011-08-17 00:00:00.000
348;1622;19;39,21;41,17;2011-08-28;1;5;3;CTN;2011-08-28 00:00:00.000
349;1598;15;37,28;39,14;2011-08-20;1;5;3;CTN;2011-08-20 00:00:00.000
349;1614;19;43,38;45,55;2011-08-22;1;5;3;CTN;2011-08-22 00:00:00.000
349;1622;19;43,28;45,44;2011-08-18;1;5;3;CTN;2011-08-18 00:00:00.000
351;1544;15;5,50;5,78;2011-08-26;100;1000;300;"EA ";2011-08-26 00:00:00.000
351;1694;15;5,90;6,20;2011-08-26;100;1000;300;"EA ";2011-08-26 00:00:00.000
